Tên sản phẩm,Giá sản phẩm,Link sản phẩm,URL ảnh sản phẩm
iPhone 6 32GB cũ đẹp 99%,Liên hệ,https://clickbuy.com.vn/iphone-6-32gb-cu-dep-99.html,https://clickbuy.com.vn/uploads/images/2023/09/6gr-large-1.jpg?v=webp
iPhone 11 Pro 512GB cũ đẹp 99%,7.790.000 ₫,https://clickbuy.com.vn/iphone-11-pro-512gb-cu-dep-99.html,https://clickbuy.com.vn/uploads/images/2019/09/thumb_11Pro_2.jpg?v=webp
iPhone 12 Pro Max 512GB cũ đẹp 99%,12.990.000 ₫,https://clickbuy.com.vn/apple-iphone-12-pro-max-512gb-cu-99.html,https://clickbuy.com.vn/uploads/images/2020/10/thumb_IP12Pro_3.jpg?v=webp
iPhone 14 Plus Lock cũ,11.490.000 ₫,https://clickbuy.com.vn/iphone-14-plus-128gb-lock.html,https://clickbuy.com.vn/uploads/images/2022/11/iphone-14-xanh.png?v=webp
iPhone 15 Lock 128GB,13.690.000 ₫,https://clickbuy.com.vn/iphone-15-lock.html,https://clickbuy.com.vn/uploads/images/2023/10/ip-15-pink.jpg?v=webp
iPhone 14 Pro Max 1TB cũ đẹp 99%,21.990.000 ₫,https://clickbuy.com.vn/iphone-14-pro-max-1tb-cu.html,https://clickbuy.com.vn/uploads/images/2023/10/3.jpg?v=webp
Apple iPhone SE 2020 64GB cũ 99%,3.690.000 ₫,https://clickbuy.com.vn/apple-iphone-se-2020-cu-99.html,https://clickbuy.com.vn/uploads/images/2020/12/se-2020.png?v=webp
iPhone 14 Pro Max Lock 256GB,18.790.000 ₫,https://clickbuy.com.vn/iphone-14-pro-max-256gb-lock.html,https://clickbuy.com.vn/uploads/images/2022/12/avt-iphone-14-pro-max-deep-purple.png?v=webp
Apple iPhone 7 plus 32GB cũ 99%,3.390.000 ₫,https://clickbuy.com.vn/apple-iphone-7-plus-32gb-cu-99.html,https://clickbuy.com.vn/uploads/images/2019/03/iPhone-7-plus-den.png?v=webp
iPhone 15 Pro Max 512GB cũ đẹp 99%,28.690.000 ₫,https://clickbuy.com.vn/iphone-15-pro-max-512gb-cu,https://clickbuy.com.vn/uploads/images/2023/09/iphone-15-pro-max-titan-1.png?v=webp
Apple iPhone SE 2020 128GB cũ 99%,4.190.000 ₫,https://clickbuy.com.vn/apple-iphone-se-2020-128gb-cu-99.html,https://clickbuy.com.vn/uploads/images/2020/12/se-2020.png?v=webp
Apple iPhone 7 plus 256GB cũ 99%,3.790.000 ₫,https://clickbuy.com.vn/apple-iphone-7-plus-256gb-cu-99.html,https://clickbuy.com.vn/uploads/images/2019/03/iPhone-7-plus-den.png?v=webp
iPhone 15 Pro Max 1TB cũ đẹp 99%,30.990.000 ₫,https://clickbuy.com.vn/iphone-15-pro-max-1tb-cu,https://clickbuy.com.vn/uploads/images/2023/09/iphone-15-pro-max-titan-1.png?v=webp
iPhone 14 Pro 512GB cũ đẹp 99%,18.590.000 ₫,https://clickbuy.com.vn/iphone-14-pro-512gb-cu-dep-99.html,https://clickbuy.com.vn/uploads/images/2023/10/3.jpg?v=webp
iPhone 14 256GB Cũ đẹp 99%,11.690.000 ₫,https://clickbuy.com.vn/iphone-14-256gb-cu-dep-99.html,https://clickbuy.com.vn/uploads/images/2023/10/avt-iphone-14-plus-tim.jpg?v=webp
iPhone 14 Pro 1TB cũ đẹp 99%,20.990.000 ₫,https://clickbuy.com.vn/iphone-14-pro-1tb-cu-dep-99.html,https://clickbuy.com.vn/uploads/images/2023/11/3-large.jpg?v=webp
iPhone 15 Pro 256GB cũ đẹp 99%,22.090.000 ₫,https://clickbuy.com.vn/iphone-15-pro-256gb-cu,https://clickbuy.com.vn/uploads/images/2023/09/iphone-15-pro-max-titan-1.png?v=webp
iPhone 15 Pro 256GB cũ đẹp 99%,25.290.000 ₫,https://clickbuy.com.vn/iphone-15-pro-256GB-cu-99.html,https://clickbuy.com.vn/uploads/images/2023/09/iphone-15-pro-max-titan-1.png?v=webp
iPhone 15 Plus 512GB Cũ đẹp 99%,20.690.000 ₫,https://clickbuy.com.vn/iphone-15-plus-512gb-cu,https://clickbuy.com.vn/uploads/images/2023/10/ip-15-blue.jpg?v=webp
iPhone 13 128GB Chính hãng VN/A (Trôi bảo hành),12.990.000 ₫,https://clickbuy.com.vn/iphone-13-128gb-chinh-hang-vn-a-troi-bao-hanh.html,https://clickbuy.com.vn/uploads/images/2022/10/avt-iphone-13-xanh-la.png?v=webp
iPhone 8 Plus 256G cũ đẹp 99%,Liên hệ,https://clickbuy.com.vn/apple-iphone-8-plus-256g-likenew-99.html,https://clickbuy.com.vn/uploads/images/2019/09/8plus.jpg?v=webp
Apple iPhone 12 Mini 256GB cũ 99%,6.290.000 ₫,https://clickbuy.com.vn/iphone-12-mini-256gb-cu,https://clickbuy.com.vn/uploads/images/2020/10/thumb_iP12_2.jpg?v=webp
iPhone 15 Pro 512GB cũ đẹp 99%,27.690.000 ₫,https://clickbuy.com.vn/iphone-15-pro-512gb-cu,https://clickbuy.com.vn/uploads/images/2023/09/iphone-15-pro-max-titan-1.png?v=webp
Apple iPhone 11 Lock 64GB cũ,4.490.000 ₫,https://clickbuy.com.vn/apple-iphone-11-lock-64gb-cu-99.html,https://clickbuy.com.vn/uploads/images/2019/09/thumb_iP11_7.jpg?v=webp
iPhone 11 128GB Chính hãng VN/A (TBH),8.490.000 ₫,https://clickbuy.com.vn/apple-iphone-11-128gb-chinh-hang-vn-a-troi-bao-hanh.html,https://clickbuy.com.vn/uploads/images/2022/02/thumb_iP11_7.jpg?v=webp
iPhone 14 512GB Cũ đẹp 99%,14.390.000 ₫,https://clickbuy.com.vn/iphone-14-512gb-cu.html,https://clickbuy.com.vn/uploads/images/2023/10/avt-iphone-14-plus-tim.jpg?v=webp
iPhone 13 mini cũ đẹp 128GB 99%,8.290.000 ₫,https://clickbuy.com.vn/iphone-13-mini-128gb-cu-dep-99.html,https://clickbuy.com.vn/uploads/images/2023/11/avt-iphone-13-green.png?v=webp
iPhone 12 256GB cũ đẹp 99%,8.090.000 ₫,https://clickbuy.com.vn/apple-iphone-12-256gb-cu-99.html,https://clickbuy.com.vn/uploads/images/2020/10/thumb_iP12_5.jpg?v=webp
iPhone 11 64GB Chính hãng TBH,7.990.000 ₫,https://clickbuy.com.vn/iphone-11-64gb-chinh-hang-vna-troi-bao-hanh.html,https://clickbuy.com.vn/uploads/images/2022/02/thumb_iP11_7.jpg?v=webp
